,Recall,Precision,F1-Score,Accuracy,ROC-AUC
Random Forest,0.75,0.6875,0.717391304347826,0.675,0.7616792929292929
Logistic Regression,0.7272727272727273,0.6956521739130435,0.711111111111111,0.675,0.7342171717171717
SVM,0.7045454545454546,0.6739130434782609,0.688888888888889,0.65,0.735479797979798
Decision Tree,0.6818181818181818,0.6,0.6382978723404256,0.575,0.5631313131313131
